platform,followers_count,following_count,posts_count,account_age_days,has_profile_pic,bio_length,verified,engagement_rate,avg_posts_per_day,follower_following_ratio,is_fraud
Instagram,1692793,1903,3708,4941,1,86,0,0.1929,0.75,889.07,0
Instagram,4304622,3644,6859,443,1,251,0,0.0065,15.483,1180.97,1
Instagram,4926534,1662,8953,1580,1,221,0,0.2248,5.666,2962.44,0
Instagram,2234539,4151,7692,4556,0,71,0,0.1013,1.688,538.18,1
Instagram,1570056,3902,6398,1976,1,201,0,0.1171,3.238,402.27,0
Instagram,1136124,609,7252,221,1,58,1,0.0485,32.814,1862.5,0
Instagram,4044937,4825,1555,70,1,275,0,0.1575,22.214,838.16,0
Instagram,1239961,1922,8867,1889,1,220,0,0.2236,4.694,644.81,0
Instagram,4472521,1302,4187,1362,1,156,0,0.0826,3.074,3432.48,0
Instagram,2138292,610,7767,3479,1,180,0,0.2817,2.233,3499.66,0
Instagram,4523719,390,36,165,1,212,0,0.0592,0.218,11569.61,0
Instagram,4981555,4223,1787,4231,1,128,0,0.0208,0.422,1179.35,0
Instagram,1766941,3647,6283,4644,1,242,0,0.1937,1.353,484.36,0
Instagram,4521423,2173,8060,1971,1,171,0,0.2549,4.089,2079.77,0
Instagram,3344819,4365,8065,1595,1,269,0,0.286,5.056,766.11,0
Instagram,791793,1108,3880,4251,1,162,0,0.2304,0.913,713.97,0
Instagram,103405,375,5932,418,1,23,0,0.0607,14.191,275.01,0
Instagram,1262802,2580,8328,1588,1,192,0,0.2933,5.244,489.27,0
Instagram,1396075,3429,6333,2151,1,293,0,0.2759,2.944,407.02,0
Instagram,1307421,2486,5759,1058,1,128,0,0.0498,5.443,525.7,0
Instagram,917090,800,6485,3564,1,40,0,0.1681,1.82,1144.93,0
Instagram,2253932,3579,5067,111,1,30,0,0.1671,45.649,629.59,0
Instagram,3530459,756,661,805,1,35,0,0.1333,0.821,4663.75,0
Instagram,4849165,322,7973,3068,1,252,0,0.2953,2.599,15012.89,0
Instagram,4721389,4643,6386,4403,1,214,0,0.0188,1.45,1016.66,0
Instagram,4842497,930,7887,2917,0,286,0,0.1885,2.704,5201.39,1
Instagram,1500992,1087,414,1908,1,255,0,0.0624,0.217,1379.59,0
Instagram,4260079,2839,6850,2301,1,185,0,0.1587,2.977,1500.03,0
Instagram,3275759,2391,8534,1637,0,60,0,0.2341,5.213,1369.46,1
Instagram,84704,3628,2729,3169,1,261,0,0.0748,0.861,23.34,0
Instagram,1954404,807,3897,635,1,275,0,0.1186,6.137,2418.82,0
Instagram,2416232,4453,2169,4765,1,110,0,0.2853,0.455,542.49,0
Instagram,3474725,282,1878,3444,1,140,0,0.2287,0.545,12278.18,0
Instagram,2653041,3020,6454,3695,1,232,0,0.1722,1.747,878.2,0
Instagram,2428438,4825,4570,2174,1,22,0,0.0674,2.102,503.2,0
Instagram,528228,1783,1515,4300,1,78,0,0.1282,0.352,296.09,0
Instagram,2663096,2557,574,3795,1,30,1,0.2324,0.151,1041.09,0
Instagram,2586694,3174,2867,1406,1,3,0,0.2463,2.039,814.71,0
Instagram,2570456,4790,3544,3492,1,117,0,0.0741,1.015,536.52,0
Instagram,3416714,4727,4477,377,1,65,0,0.199,11.875,722.66,0
Instagram,3385709,956,71,30,1,286,0,0.0294,2.367,3537.84,0
Instagram,3385407,2675,2980,92,1,175,0,0.0079,32.391,1265.1,1
Instagram,2795563,516,9309,1813,0,122,0,0.1651,5.135,5407.28,1
Instagram,1465739,253,5492,3844,1,230,0,0.0681,1.429,5770.63,0
Instagram,68198,515,9551,255,1,42,0,0.0246,37.455,132.17,0
Instagram,1825715,4527,4759,1072,1,3,0,0.2192,4.439,403.21,0
Instagram,2745733,3168,9707,874,0,189,0,0.1499,11.106,866.44,1
Instagram,3397773,3600,8084,2710,0,249,0,0.2391,2.983,943.56,1
Instagram,3003808,1882,39,4149,1,143,0,0.1995,0.009,1595.22,0
Instagram,4056568,3803,9574,1264,1,157,0,0.2192,7.574,1066.4,0
Instagram,2670045,1202,5373,2014,1,64,0,0.0929,2.668,2219.49,0
Instagram,4450862,4435,7565,4286,1,269,0,0.0797,1.765,1003.35,0
Instagram,4997945,4755,1900,1308,1,74,0,0.1807,1.453,1050.87,0
Instagram,4798719,1474,2217,1624,1,28,0,0.0608,1.365,3253.37,0
Instagram,1870978,400,4796,2581,1,237,0,0.2448,1.858,4665.78,0
Instagram,4155349,4486,4606,1982,1,152,0,0.1574,2.324,926.09,0
Instagram,2557539,3387,1283,1725,1,93,0,0.0689,0.744,754.88,0
Instagram,1773465,4847,8775,984,1,236,0,0.1879,8.918,365.81,0
Instagram,2305463,4925,8650,3321,1,114,0,0.2836,2.605,468.02,0
Instagram,3910247,682,815,386,1,295,0,0.0255,2.111,5725.11,0
Instagram,271886,2570,2511,3625,0,218,0,0.0337,0.693,105.75,1
Instagram,3584752,1221,246,998,0,245,1,0.2533,0.246,2933.51,1
Instagram,2095555,939,4825,271,1,31,0,0.0338,17.804,2229.31,0
Instagram,2299485,1549,6516,3476,1,19,0,0.0128,1.875,1483.54,0
Instagram,196819,922,416,4264,1,52,0,0.105,0.098,213.24,0
Instagram,2658555,653,6702,2174,1,205,0,0.1405,3.083,4065.07,0
Instagram,1271791,4532,3717,176,1,218,0,0.1713,21.119,280.56,0
Instagram,3769365,511,107,572,1,194,0,0.1527,0.187,7362.04,0
Instagram,1046847,739,9030,721,1,194,0,0.274,12.524,1414.66,0
Instagram,3047312,1293,4513,1055,1,81,0,0.2308,4.278,2354.96,0
Instagram,1584448,2128,1421,4080,1,0,0,0.2952,0.348,744.22,0
Instagram,2585081,4562,7283,4035,1,166,0,0.1435,1.805,566.53,0
Instagram,564735,4396,255,3389,1,182,0,0.0262,0.075,128.44,0
Instagram,2879240,3846,7248,2981,0,272,0,0.2867,2.431,748.44,1
Instagram,1311786,929,9029,759,1,156,0,0.0022,11.896,1410.52,1
Instagram,1007343,4060,2962,4529,1,200,0,0.2331,0.654,248.05,0
Instagram,4774233,2349,2282,2585,0,191,0,0.0104,0.883,2031.59,1
Instagram,3366662,765,8744,1180,1,298,0,0.2286,7.41,4395.12,0
Instagram,23297,1879,8372,1765,1,75,0,0.2814,4.743,12.39,0
Instagram,2704288,4482,1477,1068,1,139,0,0.1174,1.383,603.23,0
Instagram,2630758,517,8762,2942,1,195,0,0.073,2.978,5078.68,0
Instagram,3494729,1446,4952,4870,1,60,0,0.0687,1.017,2415.15,0
Instagram,1767690,2585,5880,2570,1,82,0,0.148,2.288,683.56,0
Instagram,2613790,3436,9919,4444,1,4,0,0.0521,2.232,760.49,0
Instagram,1285210,568,5592,1272,1,218,0,0.2022,4.396,2258.72,0
Instagram,1425522,3112,7091,802,0,253,0,0.1111,8.842,457.93,1
Instagram,49034,4526,591,1946,1,87,0,0.0976,0.304,10.83,0
Instagram,2400120,3632,6277,3442,1,208,0,0.1389,1.824,660.64,0
Instagram,3265929,4409,2260,2529,1,179,0,0.1632,0.894,740.57,0
Instagram,1504434,4067,347,3470,1,207,0,0.0434,0.1,369.82,0
Instagram,2230969,3725,8357,3575,1,272,0,0.2126,2.338,598.76,0
Instagram,1752176,1311,5032,1243,0,64,0,0.265,4.048,1335.5,1
Instagram,4330684,2165,4443,2961,1,20,0,0.0841,1.501,1999.39,0
Instagram,1737145,702,8774,448,1,176,0,0.0549,19.585,2471.05,0
Instagram,2111188,4360,6869,3811,1,21,0,0.2284,1.802,484.11,0
Instagram,4780500,1488,5696,4990,1,35,0,0.0559,1.141,3210.54,0
Instagram,2109868,266,3038,818,1,249,0,0.0133,3.714,7902.13,0
Instagram,2231835,2440,2845,1901,1,148,0,0.1862,1.497,914.31,0
Instagram,4483352,451,7864,4620,1,72,0,0.0727,1.702,9918.92,0
Instagram,2948139,1891,6609,2055,1,90,0,0.0524,3.216,1558.21,0
Instagram,2725978,2656,1265,2476,1,175,0,0.2945,0.511,1025.96,0
Instagram,3853389,3830,2274,4853,1,125,0,0.0883,0.469,1005.84,0
Instagram,1843450,4687,2470,590,1,203,0,0.2711,4.186,393.23,0
Instagram,1079161,1745,2577,2681,1,245,0,0.0543,0.961,618.08,0
Instagram,996157,3745,3660,3934,1,98,0,0.2459,0.93,265.93,0
Instagram,3521491,2655,1068,569,0,270,0,0.1511,1.877,1325.86,1
Instagram,4545633,28,5591,4785,1,43,0,0.0245,1.168,156745.97,0
Instagram,1870280,1134,5974,3166,1,221,0,0.2203,1.887,1647.82,0
