platform,followers_count,following_count,posts_count,account_age_days,has_profile_pic,bio_length,verified,engagement_rate,avg_posts_per_day,follower_following_ratio,is_fraud
LinkedIn,985529,916,4168,3843,1,93,0,0.1756,1.085,1074.73,0
LinkedIn,1152778,2196,2212,2429,1,234,0,0.134,0.911,524.71,0
LinkedIn,1442420,1663,4492,2565,0,110,0,0.0444,1.751,866.84,1
LinkedIn,1272516,2646,2189,3777,1,194,0,0.08,0.58,480.74,0
LinkedIn,1207547,1744,2965,5397,1,53,0,0.0395,0.549,692.0,0
LinkedIn,196715,2515,4385,565,1,164,0,0.0613,7.761,78.19,0
LinkedIn,338165,1423,2431,3800,1,36,0,0.1609,0.64,237.48,0
LinkedIn,1196184,2190,3690,1578,1,282,0,0.1535,2.338,545.95,0
LinkedIn,701888,1019,3796,6485,1,212,0,0.1066,0.585,688.13,0
LinkedIn,559150,2220,4827,3935,1,60,0,0.1052,1.227,251.76,0
LinkedIn,545631,2656,1617,1758,1,349,0,0.0094,0.92,205.36,1
LinkedIn,1181267,2351,5917,3344,1,94,0,0.1648,1.769,502.24,0
LinkedIn,1116753,1656,1491,4142,1,319,0,0.1114,0.36,673.96,0
LinkedIn,23774,1557,4933,597,0,371,0,0.1082,8.263,15.26,1
LinkedIn,786348,1403,1164,6018,1,229,0,0.089,0.193,560.08,0
LinkedIn,1212185,1418,1379,5092,1,294,1,0.0687,0.271,854.25,0
LinkedIn,1427390,2073,2726,983,1,332,0,0.1713,2.773,688.23,0
LinkedIn,342461,1401,4529,4844,1,75,0,0.0272,0.935,244.27,0
LinkedIn,1431170,1087,4083,1140,1,213,0,0.0495,3.582,1315.41,0
LinkedIn,935836,2712,6522,5594,1,246,0,0.0385,1.166,344.95,0
LinkedIn,261784,2992,6880,5669,1,105,0,0.0765,1.214,87.47,0
LinkedIn,691496,376,2706,1154,0,395,0,0.0144,2.345,1834.21,1
LinkedIn,1102402,1158,264,4610,1,376,0,0.0764,0.057,951.17,0
LinkedIn,1224838,1157,7142,658,1,127,0,0.1372,10.854,1057.72,0
LinkedIn,1104266,2908,1420,6564,1,290,0,0.0547,0.216,379.6,0
LinkedIn,585,1610,4067,2628,1,254,0,0.08,1.548,0.36,0
LinkedIn,345083,2614,4945,2177,1,253,0,0.0701,2.271,131.96,0
LinkedIn,1052821,2017,3403,6417,1,30,0,0.1036,0.53,521.72,0
LinkedIn,513669,1815,3272,4691,1,29,0,0.0718,0.698,282.86,0
LinkedIn,1141817,48,5187,2929,0,127,0,0.0479,1.771,23302.39,1
LinkedIn,746172,872,45,5990,1,168,1,0.1682,0.008,854.72,0
LinkedIn,289397,1101,7776,1552,0,174,0,0.0083,5.01,262.61,1
LinkedIn,900665,384,3722,4985,1,208,0,0.0323,0.747,2339.39,0
LinkedIn,141572,95,4856,4069,1,185,0,0.012,1.193,1474.71,0
LinkedIn,950787,1133,7847,2769,1,50,1,0.154,2.834,838.44,0
LinkedIn,1126190,1053,1376,1582,1,57,0,0.05,0.87,1068.49,0
LinkedIn,18973,1456,6953,3962,0,188,0,0.1317,1.755,13.02,1
LinkedIn,1373384,1558,1629,2370,1,46,0,0.1765,0.687,880.94,0
LinkedIn,700331,1468,700,5294,1,306,0,0.0997,0.132,476.74,0
LinkedIn,1259084,842,2629,497,1,212,0,0.1702,5.29,1493.58,0
LinkedIn,1491666,666,7915,2511,1,369,0,0.1725,3.152,2236.38,0
LinkedIn,472034,173,2950,2344,1,227,0,0.0795,1.259,2712.84,0
LinkedIn,318750,1770,7211,4101,1,126,0,0.0129,1.758,179.98,0
LinkedIn,1466276,1066,6035,1287,1,281,0,0.0645,4.689,1374.2,0
LinkedIn,1090512,2903,3249,126,1,134,0,0.1713,25.786,375.52,0
LinkedIn,321639,2046,3945,2442,1,162,0,0.1258,1.615,157.13,0
LinkedIn,594444,715,6917,3881,1,50,0,0.1496,1.782,830.23,0
LinkedIn,1204329,2092,5645,3536,1,164,0,0.0096,1.596,575.41,1
LinkedIn,1205501,641,2035,1889,1,290,0,0.0636,1.077,1877.73,0
LinkedIn,890478,2119,1599,258,1,27,1,0.1088,6.198,420.04,0
LinkedIn,1270371,2505,4836,5164,1,209,0,0.0998,0.936,506.93,0
LinkedIn,923734,2052,7993,2809,1,117,0,0.0643,2.845,449.94,0
LinkedIn,1075155,26,3707,6913,1,240,0,0.0115,0.536,39820.56,0
LinkedIn,840417,2731,6011,2363,1,93,0,0.0469,2.544,307.62,0
LinkedIn,1147329,2912,3547,1388,1,371,0,0.0532,2.555,393.87,0
LinkedIn,75712,1402,2191,2958,1,182,0,0.0165,0.741,53.96,0
LinkedIn,1357056,2537,6086,1914,1,34,0,0.0727,3.18,534.7,0
LinkedIn,433102,2320,2524,1546,0,203,0,0.0473,1.633,186.6,1
LinkedIn,1187418,2833,1348,4547,1,338,0,0.0293,0.296,418.99,0
LinkedIn,1105254,2546,3751,596,0,309,0,0.1082,6.294,433.94,1
LinkedIn,86154,478,6576,6914,1,112,0,0.1221,0.951,179.86,0
LinkedIn,1450213,2737,1289,1523,1,212,0,0.166,0.846,529.66,0
LinkedIn,1273261,2354,2342,2062,1,119,0,0.0032,1.136,540.66,1
LinkedIn,257756,2216,6499,6252,0,389,0,0.1728,1.04,116.26,1
LinkedIn,944506,1253,6295,3106,1,252,0,0.1702,2.027,753.19,0
LinkedIn,12082,1580,5671,3492,0,258,0,0.1198,1.624,7.64,1
LinkedIn,564043,1224,7070,595,1,395,0,0.1562,11.882,460.44,0
LinkedIn,1144905,1524,950,5898,1,207,0,0.0087,0.161,750.76,1
LinkedIn,1439084,65,6624,2259,0,201,0,0.1171,2.932,21804.3,1
LinkedIn,145441,1361,4968,2480,1,137,0,0.1442,2.003,106.78,0
LinkedIn,192025,1033,1732,4108,1,183,0,0.0234,0.422,185.71,0
LinkedIn,719883,286,5272,4759,1,61,0,0.1325,1.108,2508.3,0
LinkedIn,1315464,577,1832,939,0,159,0,0.0309,1.951,2275.89,1
LinkedIn,140027,2305,441,322,0,187,0,0.1323,1.37,60.72,1
LinkedIn,605347,97,867,5792,1,66,0,0.0569,0.15,6177.01,0
LinkedIn,362141,633,3420,5796,1,159,0,0.0688,0.59,571.2,0
LinkedIn,348465,1131,1553,6670,1,339,0,0.1288,0.233,307.83,0
LinkedIn,543991,493,3700,1767,1,140,0,0.1596,2.094,1101.2,0
LinkedIn,1229920,2522,1401,2724,1,275,0,0.1114,0.514,487.48,0
LinkedIn,32109,2868,4345,6702,1,196,0,0.0371,0.648,11.19,0
LinkedIn,1134844,835,477,3602,1,224,0,0.0629,0.132,1357.47,0
LinkedIn,515853,1358,6404,991,1,178,0,0.117,6.462,379.58,0
LinkedIn,629650,1209,5735,3244,0,73,0,0.1706,1.768,520.37,1
LinkedIn,1029701,2424,2446,5622,1,282,0,0.1395,0.435,424.62,0
LinkedIn,874333,1394,4900,4022,1,58,0,0.0783,1.218,626.76,0
LinkedIn,29778,424,4386,3573,1,219,0,0.0038,1.228,70.07,1
LinkedIn,661890,2290,4184,2185,0,101,0,0.0492,1.915,288.91,1
LinkedIn,491630,1640,6196,2159,1,186,1,0.1074,2.87,299.59,0
LinkedIn,980066,2257,4340,4330,1,84,0,0.161,1.002,434.04,0
LinkedIn,895822,647,1052,3402,1,344,0,0.0883,0.309,1382.44,0
LinkedIn,1020398,2725,7993,3856,1,208,0,0.132,2.073,374.32,0
LinkedIn,1000549,229,6122,5963,1,268,1,0.0235,1.027,4350.21,0
LinkedIn,786556,497,5058,1635,1,70,0,0.0537,3.094,1579.43,0
LinkedIn,616442,2342,789,2537,1,209,0,0.0328,0.311,263.1,0
LinkedIn,1014363,657,544,399,1,211,0,0.0724,1.363,1541.59,0
LinkedIn,1211991,2776,7361,287,0,263,0,0.1625,25.648,436.44,1
LinkedIn,54237,291,5541,4211,0,290,0,0.1313,1.316,185.74,1
LinkedIn,443610,533,2870,1333,1,65,1,0.0119,2.153,830.73,0
LinkedIn,435765,1138,4744,4084,1,371,0,0.1218,1.162,382.59,0
LinkedIn,790796,818,7226,3897,1,289,0,0.0213,1.854,965.56,0
LinkedIn,1008036,218,5017,1748,0,384,0,0.0799,2.87,4602.9,1
LinkedIn,107600,2616,4805,2882,1,369,0,0.0286,1.667,41.12,0
LinkedIn,950032,2208,3387,2662,1,344,0,0.1256,1.272,430.07,0
LinkedIn,1279303,1189,6990,5319,1,159,0,0.0415,1.314,1075.04,0
LinkedIn,712817,676,7303,1401,0,21,0,0.1088,5.213,1052.91,1
LinkedIn,840037,153,3847,1668,1,278,0,0.0419,2.306,5454.79,0
LinkedIn,763882,1057,5167,1556,1,69,0,0.1104,3.321,722.01,0
LinkedIn,1139757,1545,5406,4854,0,327,0,0.1225,1.114,737.23,1
LinkedIn,78425,964,7570,1491,1,52,0,0.1255,5.077,81.27,0
LinkedIn,1224878,2885,6066,5062,1,228,0,0.1253,1.198,424.42,0
LinkedIn,709027,1640,4237,2561,1,43,0,0.1274,1.654,432.07,0
LinkedIn,623805,1341,7609,6119,1,47,0,0.1202,1.244,464.83,0
LinkedIn,647716,1486,1090,3445,0,271,0,0.0294,0.316,435.59,1
LinkedIn,1396897,1268,152,837,1,277,0,0.1361,0.182,1100.79,0
LinkedIn,416169,1251,3578,5483,1,174,0,0.0759,0.653,332.4,0
LinkedIn,211135,1588,2465,1660,1,43,0,0.0417,1.485,132.87,0
LinkedIn,453612,1532,6832,4837,1,34,0,0.1532,1.412,295.9,0
LinkedIn,1430580,2629,72,3843,1,258,0,0.1416,0.019,543.95,0
LinkedIn,540822,828,3311,5807,1,56,0,0.0641,0.57,652.38,0
LinkedIn,1431153,175,7578,691,1,199,0,0.1696,10.967,8131.55,0
LinkedIn,521887,1332,5763,1160,1,265,0,0.0277,4.968,391.51,0
LinkedIn,984859,381,3396,811,1,380,0,0.0633,4.187,2578.16,0
LinkedIn,622996,678,6947,5166,1,81,0,0.0228,1.345,917.52,0
LinkedIn,390995,127,7416,1940,1,73,0,0.1358,3.823,3054.65,0
LinkedIn,547507,461,5657,5977,1,169,1,0.0053,0.946,1185.08,1
LinkedIn,1276084,617,2223,6713,1,195,0,0.0328,0.331,2064.86,0
LinkedIn,195359,780,6554,2116,1,163,0,0.0888,3.097,250.14,0
LinkedIn,1040052,354,3105,4366,1,302,0,0.0075,0.711,2929.72,1
LinkedIn,471064,2496,5102,4220,1,66,0,0.0118,1.209,188.65,0
LinkedIn,1367048,1057,4565,6246,1,80,0,0.1579,0.731,1292.11,0
LinkedIn,1397945,2163,7637,5581,1,75,0,0.0293,1.368,646.0,0
LinkedIn,865048,951,1302,170,1,175,0,0.1347,7.659,908.66,0
LinkedIn,213326,2556,666,6059,1,363,0,0.1681,0.11,83.43,0
LinkedIn,553710,2410,556,2530,1,323,0,0.1755,0.22,229.66,0
LinkedIn,1487941,2923,941,4534,1,60,0,0.0452,0.208,508.87,0
LinkedIn,1222953,2733,876,331,1,149,0,0.0074,2.647,447.31,1
LinkedIn,702791,1393,268,2007,0,78,0,0.0483,0.134,504.15,1
LinkedIn,684786,1910,1639,5404,1,367,0,0.1689,0.303,358.34,0
LinkedIn,893246,1733,7469,5564,1,68,0,0.1336,1.342,515.14,0
LinkedIn,284949,506,5546,322,1,322,0,0.0968,17.224,562.03,0
LinkedIn,396398,1908,299,3824,0,147,0,0.0621,0.078,207.65,1
LinkedIn,212036,2655,7689,3911,1,206,0,0.0084,1.966,79.83,1
LinkedIn,281467,1253,2544,5880,1,266,0,0.0728,0.433,224.46,0
LinkedIn,925555,1479,3147,5773,1,195,0,0.1317,0.545,625.38,0
LinkedIn,979242,2919,1234,1291,1,43,0,0.1613,0.956,335.36,0
LinkedIn,1227941,1855,5395,4308,1,339,0,0.028,1.252,661.61,0
LinkedIn,17557,1920,6822,3695,1,103,0,0.0855,1.846,9.14,0
LinkedIn,518893,872,1645,1251,1,192,0,0.038,1.315,594.38,0
LinkedIn,952415,973,7981,2483,1,229,0,0.0989,3.214,977.84,0
LinkedIn,1150348,73,1231,4331,1,128,0,0.0474,0.284,15545.24,0
LinkedIn,265412,2750,2205,3148,1,86,0,0.0501,0.7,96.48,0
LinkedIn,137354,1388,5689,1326,1,174,0,0.0957,4.29,98.89,0
LinkedIn,734298,397,828,4720,1,266,0,0.1609,0.175,1844.97,0
LinkedIn,367672,433,1866,5496,1,185,0,0.1256,0.34,847.17,0
LinkedIn,999739,1565,5865,4097,1,261,0,0.1171,1.432,638.4,0
LinkedIn,94378,2395,2065,6635,1,349,0,0.0177,0.311,39.39,0
LinkedIn,780006,1041,476,5170,1,169,0,0.0923,0.092,748.57,0
LinkedIn,863800,2873,7409,4936,1,60,1,0.1699,1.501,300.56,0
LinkedIn,63918,2428,1653,3366,1,231,0,0.0491,0.491,26.31,0
LinkedIn,229694,2044,4724,4725,1,30,0,0.1229,1.0,112.32,0
LinkedIn,442681,2774,2566,5990,1,61,0,0.1282,0.428,159.52,0
LinkedIn,1037856,2570,5725,4739,1,322,1,0.1537,1.208,403.68,0
LinkedIn,870055,1279,4258,4613,1,317,0,0.0818,0.923,679.73,0
LinkedIn,949914,1624,5244,4511,1,238,0,0.1104,1.162,584.56,0
LinkedIn,156946,2441,6281,846,1,308,0,0.0983,7.424,64.27,0
LinkedIn,269945,1042,223,1571,1,229,0,0.0339,0.142,258.82,0
LinkedIn,835534,789,4740,6066,1,280,0,0.1256,0.781,1057.64,0
LinkedIn,609264,860,3112,2003,1,132,0,0.0066,1.554,707.62,1
LinkedIn,625106,2662,2785,1396,0,322,0,0.1301,1.995,234.74,1
LinkedIn,1274268,2726,2153,5337,0,121,0,0.0398,0.403,467.28,1
LinkedIn,672414,324,396,3768,1,74,0,0.0679,0.105,2068.97,0
LinkedIn,901261,2416,4967,4218,1,390,0,0.057,1.178,372.88,0
LinkedIn,926280,455,2987,6825,1,394,0,0.1268,0.438,2031.32,0
LinkedIn,431784,730,6890,3895,1,283,1,0.1385,1.769,590.68,0
LinkedIn,1030065,2049,4227,4292,1,302,0,0.093,0.985,502.47,0
LinkedIn,1104253,2757,2784,3571,1,344,0,0.1769,0.78,400.38,0
LinkedIn,1420203,1263,5887,5425,1,118,0,0.116,1.085,1123.58,0
LinkedIn,802309,1242,891,3979,1,320,0,0.093,0.224,645.46,0
LinkedIn,123637,2813,3594,810,0,342,0,0.1509,4.437,43.94,1
LinkedIn,114121,1408,2339,3443,1,56,0,0.0243,0.679,80.99,0
LinkedIn,698385,729,4748,3989,1,256,0,0.1585,1.19,956.69,0
LinkedIn,120196,595,4595,3244,1,306,0,0.1633,1.416,201.67,0
LinkedIn,1448441,1668,6008,645,1,172,0,0.066,9.315,867.85,0
LinkedIn,284340,2724,250,6787,1,147,0,0.1207,0.037,104.34,0
LinkedIn,1499214,1433,5838,4095,1,164,0,0.0985,1.426,1045.48,0
LinkedIn,893924,1220,146,5283,1,55,0,0.0473,0.028,732.12,0
LinkedIn,78283,1504,3246,680,1,340,0,0.0093,4.774,52.02,1
LinkedIn,1289788,1578,5855,5375,0,255,0,0.1284,1.089,816.84,1
LinkedIn,308401,51,5416,6386,1,331,0,0.1287,0.848,5930.79,0
LinkedIn,1470675,2950,2227,1641,1,296,0,0.0586,1.357,498.36,0
LinkedIn,1288256,1835,6445,3971,1,368,0,0.0255,1.623,701.66,0
LinkedIn,624293,704,5509,5060,1,24,0,0.1057,1.089,885.52,0
LinkedIn,330804,747,2053,1307,1,322,0,0.147,1.571,442.25,0
LinkedIn,1003283,617,1749,3330,1,109,0,0.0788,0.525,1623.44,0
LinkedIn,489730,2801,3773,1933,1,353,1,0.1311,1.952,174.78,0
LinkedIn,1242244,2749,186,6921,0,366,1,0.1472,0.027,451.73,1
